faceoffsLost,shotsAgainst,teamId,teamFullName,gameDate,shootoutGamesWon,ppGoalsFor,shotsFor,otLosses,gameId,shootoutGamesLost,penaltyKillPctg,ppPctg,faceoffWinPctg,gameLocationCode,faceoffsWon,ppOpportunities,wins,ties,goalsFor,opponentTeamAbbrev,gamesPlayed,points,losses,goalsAgainst,teamAbbrev,shNumTimes,ppGoalsAgainst
39,34,22,Edmonton Oilers,2011-10-09T23:00:00Z,1,0,35,0,2011020024,0,0.875,0.0,0.4935,H,38,5,1,0,1,PIT,1,2,0,1,EDM,8,1
25,35,22,Edmonton Oilers,2011-10-13T23:00:00Z,0,0,22,1,2011020044,1,1.0,0.0,0.5,R,25,2,0,0,1,MIN,1,1,0,1,EDM,4,0
31,26,22,Edmonton Oilers,2011-10-16T00:00:00Z,0,2,30,0,2011020061,0,0.3333,0.4,0.5441,H,37,5,0,0,3,VAN,1,0,1,4,EDM,3,2
29,12,22,Edmonton Oilers,2011-10-17T23:30:00Z,0,1,25,0,2011020067,0,1.0,0.2,0.5084,H,30,5,1,0,3,NSH,1,2,0,1,EDM,5,0
28,28,22,Edmonton Oilers,2011-10-18T23:30:00Z,0,1,25,0,2011020075,0,1.0,0.1666,0.3913,R,18,6,0,0,1,CGY,1,0,1,2,EDM,3,0
27,31,22,Edmonton Oilers,2011-10-20T23:30:00Z,0,0,31,1,2011020088,1,1.0,0.0,0.5344,H,31,2,0,0,1,MIN,1,1,0,1,EDM,4,0
19,19,22,Edmonton Oilers,2011-10-23T00:00:00Z,0,1,27,0,2011020107,0,1.0,0.25,0.5777,H,26,4,1,0,2,NYR,1,2,0,0,EDM,5,0
27,37,22,Edmonton Oilers,2011-10-25T23:30:00Z,0,0,22,0,2011020119,0,1.0,0.0,0.4489,H,22,3,1,0,3,VAN,1,2,0,2,EDM,3,0
29,35,22,Edmonton Oilers,2011-10-27T23:30:00Z,0,2,19,0,2011020134,0,1.0,0.25,0.4528,H,24,8,1,0,2,WSH,1,2,0,1,EDM,4,0
35,41,22,Edmonton Oilers,2011-10-28T23:00:00Z,0,1,19,0,2011020138,0,0.75,0.25,0.3636,R,20,4,1,0,3,COL,1,2,0,1,EDM,4,1
27,30,22,Edmonton Oilers,2011-10-30T22:00:00Z,0,2,30,0,2011020156,0,0.6666,0.5,0.5178,H,29,4,1,0,4,STL,1,2,0,2,EDM,3,1
30,19,22,Edmonton Oilers,2011-11-03T23:30:00Z,0,0,27,0,2011020176,0,1.0,0.0,0.4117,R,21,4,1,0,3,LAK,1,2,0,0,EDM,2,0
26,30,22,Edmonton Oilers,2011-11-05T23:00:00Z,0,0,26,0,2011020192,0,0.5,0.0,0.4583,R,22,2,0,0,2,PHX,1,0,1,4,EDM,2,1
29,29,22,Edmonton Oilers,2011-11-09T00:30:00Z,0,0,14,0,2011020206,0,1.0,0.0,0.4423,R,23,2,1,0,3,MTL,1,2,0,1,EDM,6,0
34,28,22,Edmonton Oilers,2011-11-11T00:00:00Z,0,1,30,0,2011020214,0,0.6,0.2,0.4237,R,25,5,0,0,3,BOS,1,0,1,6,EDM,5,2
21,30,22,Edmonton Oilers,2011-11-12T00:30:00Z,0,0,24,0,2011020226,0,1.0,0.0,0.475,R,19,3,0,0,0,DET,1,0,1,3,EDM,6,0
22,35,22,Edmonton Oilers,2011-11-13T23:00:00Z,0,1,23,0,2011020241,0,0.75,0.3333,0.5217,R,24,3,0,0,3,CHI,1,0,1,6,EDM,4,1
21,16,22,Edmonton Oilers,2011-11-18T00:30:00Z,0,1,24,0,2011020268,0,1.0,0.5,0.6315,H,36,2,0,0,2,OTT,1,0,1,5,EDM,3,0
35,36,22,Edmonton Oilers,2011-11-20T01:00:00Z,0,4,34,0,2011020285,0,0.6666,0.5714,0.4444,H,28,7,1,0,9,CHI,1,2,0,2,EDM,6,2
24,35,22,Edmonton Oilers,2011-11-22T00:30:00Z,0,0,18,0,2011020296,0,1.0,0.0,0.5102,R,25,6,0,0,1,DAL,1,0,1,4,EDM,3,0
36,32,22,Edmonton Oilers,2011-11-23T00:00:00Z,0,2,32,0,2011020299,0,0.8333,0.5,0.4375,R,28,4,1,0,6,NSH,1,2,0,2,EDM,6,1
37,32,22,Edmonton Oilers,2011-11-25T20:00:00Z,0,1,29,0,2011020316,0,0.75,0.25,0.2884,R,15,4,1,0,5,MIN,1,2,0,2,EDM,4,1
29,29,22,Edmonton Oilers,2011-11-26T22:00:00Z,0,0,33,0,2011020328,0,0.6666,0.0,0.5,R,29,3,0,0,2,COL,1,0,1,5,EDM,3,1
26,31,22,Edmonton Oilers,2011-11-29T00:30:00Z,0,0,18,0,2011020343,0,0.75,0.0,0.5185,H,28,3,0,0,1,NSH,1,0,1,2,EDM,4,1
38,29,22,Edmonton Oilers,2011-12-01T00:30:00Z,0,1,30,1,2011020356,1,0.8333,0.25,0.3968,H,25,4,0,0,2,MIN,1,1,0,2,EDM,6,1
31,39,22,Edmonton Oilers,2011-12-03T00:30:00Z,0,1,34,0,2011020370,0,0.8,0.5,0.5303,H,35,2,1,0,6,CBJ,1,2,0,3,EDM,5,1
35,32,22,Edmonton Oilers,2011-12-04T01:00:00Z,0,0,29,0,2011020382,0,0.3333,0.0,0.4531,H,29,6,0,0,3,CGY,1,0,1,5,EDM,3,2
27,33,22,Edmonton Oilers,2011-12-08T00:30:00Z,0,0,25,0,2011020404,0,0.6666,0.0,0.5423,H,32,4,0,0,3,CAR,1,0,1,5,EDM,6,2
26,29,22,Edmonton Oilers,2011-12-10T00:30:00Z,0,2,35,0,2011020420,0,1.0,0.4,0.5517,H,32,5,1,0,4,COL,1,2,0,1,EDM,3,0
28,34,22,Edmonton Oilers,2011-12-11T01:00:00Z,0,0,21,0,2011020431,0,0.8571,0.0,0.4909,R,27,4,0,0,0,CGY,1,0,1,3,EDM,7,1
26,42,22,Edmonton Oilers,2011-12-16T00:30:00Z,0,2,20,0,2011020459,0,1.0,0.6666,0.5517,R,32,3,0,0,2,PHX,1,0,1,4,EDM,3,0
34,37,22,Edmonton Oilers,2011-12-18T00:00:00Z,0,0,25,0,2011020477,0,0.75,0.0,0.4137,R,24,2,0,0,2,SJS,1,0,1,3,EDM,4,1
28,28,22,Edmonton Oilers,2011-12-20T00:30:00Z,0,1,23,0,2011020485,0,1.0,0.2,0.4814,H,26,5,0,0,2,DET,1,0,1,3,EDM,2,0
32,31,22,Edmonton Oilers,2011-12-23T00:30:00Z,0,1,31,0,2011020506,0,1.0,0.25,0.3846,H,20,4,1,0,4,MIN,1,2,0,1,EDM,5,0
32,26,22,Edmonton Oilers,2011-12-27T00:00:00Z,0,2,21,0,2011020526,0,1.0,0.2857,0.4074,R,22,7,0,0,3,VAN,1,0,1,5,EDM,4,0
32,27,22,Edmonton Oilers,2011-12-30T00:00:00Z,0,0,30,0,2011020546,0,1.0,0.0,0.4838,R,30,3,0,0,3,MIN,1,0,1,4,EDM,1,0
25,29,22,Edmonton Oilers,2011-12-31T18:00:00Z,0,0,29,0,2011020557,0,0.3333,0.0,0.5,R,25,4,0,0,1,NYI,1,0,1,4,EDM,3,2
27,42,22,Edmonton Oilers,2012-01-03T00:30:00Z,0,2,30,0,2011020571,0,1.0,0.4,0.5423,R,32,5,1,0,4,CHI,1,2,0,3,EDM,5,0
20,33,22,Edmonton Oilers,2012-01-04T00:00:00Z,0,1,26,0,2011020574,0,1.0,0.3333,0.5555,R,25,3,0,0,3,BUF,1,0,1,4,EDM,2,0
32,37,22,Edmonton Oilers,2012-01-06T00:00:00Z,0,2,32,0,2011020589,0,0.6666,0.4,0.5076,R,33,5,0,0,3,STL,1,0,1,4,EDM,6,2
30,34,22,Edmonton Oilers,2012-01-07T18:00:00Z,0,0,26,0,2011020600,0,1.0,0.0,0.4117,R,21,2,0,0,1,DAL,1,0,1,4,EDM,2,0
24,25,22,Edmonton Oilers,2012-01-12T00:00:00Z,0,1,23,1,2011020630,0,0.5,0.2,0.5102,H,25,5,0,0,1,NJD,1,1,0,2,EDM,2,1
20,28,22,Edmonton Oilers,2012-01-14T00:30:00Z,0,0,33,0,2011020646,0,0.3333,0.0,0.6428,H,36,2,0,0,0,ANA,1,0,1,5,EDM,3,2
26,21,22,Edmonton Oilers,2012-01-15T23:00:00Z,0,2,33,0,2011020662,0,1.0,0.6666,0.4468,H,21,3,1,0,2,LAK,1,2,0,1,EDM,3,0
28,25,22,Edmonton Oilers,2012-01-18T00:00:00Z,0,0,23,0,2011020676,0,0.0,0.0,0.4615,R,24,3,0,0,2,CBJ,1,0,1,4,EDM,2,2
33,38,22,Edmonton Oilers,2012-01-20T00:00:00Z,0,0,15,0,2011020690,0,1.0,0.0,0.4107,R,23,2,0,0,0,STL,1,0,1,1,EDM,5,0
18,23,22,Edmonton Oilers,2012-01-22T01:00:00Z,0,0,23,0,2011020711,0,0.8,0.0,0.5609,H,23,2,0,0,2,CGY,1,0,1,6,EDM,5,1
38,45,22,Edmonton Oilers,2012-01-24T00:30:00Z,1,0,18,0,2011020720,0,0.5,0.0,0.4794,H,35,1,1,0,1,SJS,1,2,0,1,EDM,2,1
17,35,22,Edmonton Oilers,2012-01-25T00:00:00Z,0,1,32,1,2011020734,1,1.0,1.0,0.6666,R,34,1,0,0,2,VAN,1,1,0,2,EDM,2,0
21,33,22,Edmonton Oilers,2012-02-01T00:30:00Z,0,1,23,0,2011020746,0,1.0,0.5,0.58,H,29,2,1,0,3,COL,1,2,0,2,EDM,2,0
34,47,22,Edmonton Oilers,2012-02-03T00:30:00Z,0,1,41,0,2011020759,0,1.0,0.1428,0.4687,H,30,7,1,0,8,CHI,1,2,0,4,EDM,3,0
40,39,22,Edmonton Oilers,2012-02-05T01:00:00Z,1,2,32,0,2011020778,0,1.0,0.6666,0.4594,H,34,3,1,0,4,DET,1,2,0,4,EDM,4,0
34,31,22,Edmonton Oilers,2012-02-07T00:00:00Z,0,0,30,0,2011020783,0,0.0,0.0,0.4687,R,30,0,0,0,3,TOR,1,0,1,6,EDM,0,0
31,30,22,Edmonton Oilers,2012-02-09T00:30:00Z,0,1,17,0,2011020798,0,0.75,0.1428,0.4561,R,26,7,0,0,2,DET,1,0,1,4,EDM,4,1
33,42,22,Edmonton Oilers,2012-02-11T19:00:00Z,0,0,40,0,2011020820,0,1.0,0.0,0.459,R,28,2,1,0,4,OTT,1,2,0,3,EDM,2,0
26,26,22,Edmonton Oilers,2012-02-16T01:00:00Z,0,0,32,1,2011020849,0,0.6666,0.0,0.5,H,26,2,0,0,3,TOR,1,1,0,4,EDM,3,1
27,23,22,Edmonton Oilers,2012-02-18T00:30:00Z,0,0,27,0,2011020864,0,0.75,0.0,0.5,H,27,4,0,0,1,COL,1,0,1,3,EDM,4,1
26,31,22,Edmonton Oilers,2012-02-20T00:00:00Z,0,0,28,0,2011020881,0,0.8,0.0,0.4468,H,21,1,0,0,2,VAN,1,0,1,5,EDM,5,1
29,22,22,Edmonton Oilers,2012-02-22T00:00:00Z,0,1,42,0,2011020894,0,1.0,0.3333,0.5,R,29,3,1,0,6,CGY,1,2,0,1,EDM,1,0
19,35,22,Edmonton Oilers,2012-02-24T00:30:00Z,0,1,30,0,2011020907,0,1.0,0.5,0.6666,H,38,2,1,0,2,PHI,1,2,0,0,EDM,3,0
29,20,22,Edmonton Oilers,2012-02-25T19:00:00Z,0,0,22,0,2011020916,0,1.0,0.0,0.4528,H,24,1,0,0,1,PHX,1,0,1,3,EDM,1,0
36,32,22,Edmonton Oilers,2012-02-28T00:30:00Z,0,2,25,0,2011020934,0,0.3333,0.6666,0.4285,R,27,3,1,0,5,WPG,1,2,0,3,EDM,3,2
26,31,22,Edmonton Oilers,2012-03-01T01:00:00Z,0,0,24,0,2011020948,0,0.75,0.0,0.4583,H,22,1,0,0,2,STL,1,0,1,5,EDM,4,1
27,15,22,Edmonton Oilers,2012-03-03T00:30:00Z,0,0,20,0,2011020963,0,1.0,0.0,0.5,H,27,0,0,0,1,DAL,1,0,1,3,EDM,2,0
28,30,22,Edmonton Oilers,2012-03-06T00:00:00Z,0,1,36,0,2011020983,0,0.5,1.0,0.4716,R,25,1,0,0,2,ANA,1,0,1,4,EDM,2,1
38,30,22,Edmonton Oilers,2012-03-07T00:30:00Z,1,0,26,0,2011020995,0,1.0,0.0,0.3666,R,22,1,1,0,2,SJS,1,2,0,2,EDM,2,0
29,31,22,Edmonton Oilers,2012-03-09T00:30:00Z,0,1,27,0,2011021008,0,0.5,0.25,0.5245,H,32,4,0,0,3,MTL,1,0,1,5,EDM,4,2
34,32,22,Edmonton Oilers,2012-03-10T18:00:00Z,0,0,30,1,2011021015,1,1.0,0.0,0.3818,R,21,2,0,0,2,COL,1,1,0,2,EDM,2,0
34,33,22,Edmonton Oilers,2012-03-12T23:30:00Z,0,0,22,0,2011021035,0,0.0,0.0,0.3928,H,22,1,0,0,2,SJS,1,0,1,3,EDM,2,2
27,22,22,Edmonton Oilers,2012-03-15T00:00:00Z,0,1,27,0,2011021049,0,1.0,0.25,0.4905,H,26,4,1,0,3,CBJ,1,2,0,0,EDM,4,0
27,19,22,Edmonton Oilers,2012-03-16T23:30:00Z,0,0,25,0,2011021063,0,1.0,0.0,0.509,H,28,6,1,0,3,CGY,1,2,0,1,EDM,1,0
34,42,22,Edmonton Oilers,2012-03-18T22:00:00Z,0,0,38,1,2011021079,1,1.0,0.0,0.4603,H,29,2,0,0,2,PHX,1,1,0,2,EDM,2,0
30,44,22,Edmonton Oilers,2012-03-20T23:00:00Z,0,1,20,0,2011021093,0,0.75,1.0,0.5384,R,35,1,1,0,6,NSH,1,2,0,3,EDM,4,1
27,21,22,Edmonton Oilers,2012-03-22T23:30:00Z,0,0,36,1,2011021104,1,0.75,0.0,0.4375,R,21,1,0,0,2,TBL,1,1,0,2,EDM,4,1
28,27,22,Edmonton Oilers,2012-03-23T23:30:00Z,1,0,21,0,2011021115,0,1.0,0.0,0.4615,R,24,1,1,0,1,FLA,1,2,0,1,EDM,4,0
37,32,22,Edmonton Oilers,2012-03-25T19:00:00Z,0,1,38,0,2011021127,0,0.8333,0.25,0.4218,R,27,4,1,0,6,CBJ,1,2,0,3,EDM,6,1
31,25,22,Edmonton Oilers,2012-03-28T23:30:00Z,0,0,32,0,2011021151,0,1.0,0.0,0.4655,H,27,4,0,0,1,DAL,1,0,1,3,EDM,5,0
30,32,22,Edmonton Oilers,2012-03-30T23:30:00Z,0,1,14,0,2011021167,0,0.8333,0.3333,0.3617,H,17,3,0,0,1,LAK,1,0,1,4,EDM,6,1
28,33,22,Edmonton Oilers,2012-04-01T21:00:00Z,0,0,15,0,2011021186,0,1.0,0.0,0.4814,R,26,1,1,0,2,ANA,1,2,0,1,EDM,5,0
35,37,22,Edmonton Oilers,2012-04-02T23:30:00Z,0,0,19,0,2011021188,0,1.0,0.0,0.3396,R,18,2,0,0,0,LAK,1,0,1,2,EDM,3,0
37,17,22,Edmonton Oilers,2012-04-05T23:30:00Z,0,0,26,1,2011021213,0,1.0,0.0,0.3833,H,23,1,0,0,2,ANA,1,1,0,3,EDM,1,0
26,42,22,Edmonton Oilers,2012-04-07T23:00:00Z,0,0,17,0,2011021229,0,0.7142,0.0,0.5094,R,27,2,0,0,0,VAN,1,0,1,3,EDM,7,2
29,29,22,Edmonton Oilers,2013-01-20T23:00:00Z,1,1,32,0,2012020018,0,1.0,0.25,0.5606,R,37,4,1,0,2,VAN,1,2,0,2,EDM,5,0
37,31,22,Edmonton Oilers,2013-01-23T01:00:00Z,0,2,29,0,2012020035,0,0.4,0.4,0.4558,H,31,5,0,0,3,SJS,1,0,1,6,EDM,5,3
35,31,22,Edmonton Oilers,2013-01-25T00:30:00Z,0,1,39,0,2012020048,0,1.0,0.1111,0.4927,H,34,9,1,0,2,LAK,1,2,0,1,EDM,8,0
35,35,22,Edmonton Oilers,2013-01-27T01:00:00Z,0,2,20,0,2012020063,0,0.8333,0.5,0.4166,R,25,4,0,0,3,CGY,1,0,1,4,EDM,6,1
25,38,22,Edmonton Oilers,2013-01-29T00:30:00Z,0,4,27,0,2012020076,0,1.0,0.6666,0.5689,H,33,6,1,0,4,COL,1,2,0,1,EDM,3,0
26,28,22,Edmonton Oilers,2013-01-31T00:30:00Z,0,1,21,0,2012020090,0,0.5,0.25,0.4468,R,21,4,1,0,2,PHX,1,2,0,1,EDM,2,1
31,38,22,Edmonton Oilers,2013-02-01T00:30:00Z,0,0,28,1,2012020100,1,1.0,0.0,0.3921,R,20,3,0,0,2,SJS,1,1,0,2,EDM,5,0
31,40,22,Edmonton Oilers,2013-02-02T18:00:00Z,0,0,26,0,2012020110,0,1.0,0.0,0.4259,R,23,3,0,0,1,COL,1,0,1,3,EDM,6,0
44,40,22,Edmonton Oilers,2013-02-05T00:30:00Z,0,1,25,1,2012020126,0,1.0,0.25,0.3015,H,19,4,0,0,2,VAN,1,1,0,3,EDM,4,0
24,28,22,Edmonton Oilers,2013-02-07T01:00:00Z,0,1,29,1,2012020140,0,0.6666,0.25,0.4285,H,18,4,0,0,2,DAL,1,1,0,3,EDM,3,1
33,30,22,Edmonton Oilers,2013-02-09T19:00:00Z,0,1,24,0,2012020158,0,0.7142,0.125,0.34,R,17,8,0,0,1,DET,1,0,1,2,EDM,7,2
26,40,22,Edmonton Oilers,2013-02-10T23:00:00Z,0,0,14,0,2012020167,0,1.0,0.0,0.5,R,26,4,1,0,3,CBJ,1,2,0,1,EDM,7,0
27,29,22,Edmonton Oilers,2013-02-13T00:30:00Z,0,0,36,0,2012020186,0,1.0,0.0,0.5263,H,30,5,0,0,1,DAL,1,0,1,4,EDM,3,0
30,29,22,Edmonton Oilers,2013-02-17T01:00:00Z,0,2,56,0,2012020211,0,0.75,0.5,0.5238,H,33,4,1,0,6,COL,1,2,0,4,EDM,4,1
33,38,22,Edmonton Oilers,2013-02-20T01:00:00Z,0,1,24,0,2012020233,0,1.0,0.25,0.4,H,22,4,0,0,1,LAK,1,0,1,3,EDM,2,0
31,28,22,Edmonton Oilers,2013-02-22T00:30:00Z,0,0,28,0,2012020246,0,1.0,0.0,0.4833,H,29,1,0,0,1,MIN,1,0,1,3,EDM,3,0
31,36,22,Edmonton Oilers,2013-02-23T18:30:00Z,1,1,43,0,2012020252,0,0.8571,0.25,0.4833,H,29,4,1,0,2,PHX,1,2,0,2,EDM,7,1
28,34,22,Edmonton Oilers,2013-02-26T00:30:00Z,0,1,19,1,2012020273,0,0.5,0.25,0.5087,R,29,4,0,0,2,CHI,1,1,0,3,EDM,2,1
32,34,22,Edmonton Oilers,2013-03-01T00:30:00Z,0,1,38,0,2012020295,0,1.0,0.1111,0.5492,R,39,9,1,0,5,DAL,1,2,0,1,EDM,5,0
24,30,22,Edmonton Oilers,2013-03-02T00:00:00Z,0,0,17,0,2012020299,0,0.5,0.0,0.5,R,24,3,0,0,2,STL,1,0,1,4,EDM,2,1
30,43,22,Edmonton Oilers,2013-03-04T00:00:00Z,0,0,21,0,2012020318,0,0.6666,0.0,0.423,R,22,1,0,0,2,MIN,1,0,1,4,EDM,3,1
38,38,22,Edmonton Oilers,2013-03-06T00:00:00Z,0,0,29,1,2012020328,1,0.75,0.0,0.387,R,24,3,0,0,3,CBJ,1,1,0,3,EDM,4,1
36,28,22,Edmonton Oilers,2013-03-08T00:30:00Z,0,0,22,0,2012020347,0,1.0,0.0,0.4098,R,25,0,0,0,0,DET,1,0,1,3,EDM,1,0
30,34,22,Edmonton Oilers,2013-03-09T00:00:00Z,0,0,24,0,2012020352,0,0.5,0.0,0.4736,R,27,0,0,0,0,NSH,1,0,1,6,EDM,4,2
40,37,22,Edmonton Oilers,2013-03-10T22:00:00Z,0,3,25,0,2012020370,0,0.5,0.75,0.375,R,24,4,1,0,6,CHI,1,2,0,5,EDM,2,1
34,35,22,Edmonton Oilers,2013-03-12T23:00:00Z,0,1,32,0,2012020386,0,1.0,0.25,0.4137,R,24,4,1,0,4,COL,1,2,0,0,EDM,2,0
34,28,22,Edmonton Oilers,2013-03-15T23:30:00Z,0,0,32,1,2012020404,0,0.8,0.0,0.4035,H,23,3,0,0,2,DET,1,1,0,3,EDM,5,1
28,31,22,Edmonton Oilers,2013-03-17T22:00:00Z,0,1,21,0,2012020421,0,0.75,0.5,0.4716,H,25,2,1,0,3,NSH,1,2,0,2,EDM,4,1
38,34,22,Edmonton Oilers,2013-03-20T23:30:00Z,0,1,27,1,2012020441,1,0.5,0.2,0.4492,H,31,5,0,0,3,SJS,1,1,0,3,EDM,2,1
20,25,22,Edmonton Oilers,2013-03-24T00:00:00Z,0,0,19,0,2012020464,0,1.0,0.0,0.4871,H,19,2,0,0,0,STL,1,0,1,3,EDM,2,0
36,26,22,Edmonton Oilers,2013-03-25T23:00:00Z,0,1,26,0,2012020475,0,1.0,0.25,0.4375,R,28,4,0,0,2,NSH,1,0,1,3,EDM,2,0
30,43,22,Edmonton Oilers,2013-03-26T23:00:00Z,0,0,19,0,2012020485,0,1.0,0.0,0.4339,R,23,0,1,0,3,STL,1,2,0,0,EDM,2,0
36,30,22,Edmonton Oilers,2013-03-28T23:30:00Z,0,0,25,0,2012020499,0,1.0,0.0,0.4375,H,28,2,1,0,6,CBJ,1,2,0,4,EDM,2,0
26,23,22,Edmonton Oilers,2013-03-31T00:00:00Z,0,1,24,0,2012020515,0,1.0,0.3333,0.4583,H,22,3,1,0,4,VAN,1,2,0,0,EDM,3,0
39,34,22,Edmonton Oilers,2013-04-01T23:30:00Z,0,0,20,0,2012020529,0,1.0,0.0,0.3389,H,20,0,1,0,4,CGY,1,2,0,1,EDM,1,0
23,21,22,Edmonton Oilers,2013-04-04T00:00:00Z,0,3,39,0,2012020540,0,1.0,0.6,0.6229,R,38,5,1,0,8,CGY,1,2,0,2,EDM,1,0
27,28,22,Edmonton Oilers,2013-04-04T23:30:00Z,0,0,23,0,2012020550,0,0.8,0.0,0.5,R,27,4,0,0,0,VAN,1,0,1,4,EDM,5,1
36,39,22,Edmonton Oilers,2013-04-06T17:00:00Z,0,1,24,0,2012020561,0,0.6,0.25,0.4461,R,29,4,0,0,1,LAK,1,0,1,4,EDM,5,2
26,38,22,Edmonton Oilers,2013-04-08T23:00:00Z,0,0,28,0,2012020581,0,1.0,0.0,0.5517,R,32,3,0,0,1,ANA,1,0,1,2,EDM,5,0
33,32,22,Edmonton Oilers,2013-04-10T23:30:00Z,0,0,30,0,2012020594,0,0.8,0.0,0.459,H,28,3,0,0,1,PHX,1,0,1,3,EDM,5,1
18,38,22,Edmonton Oilers,2013-04-14T00:00:00Z,0,0,29,0,2012020619,0,0.8,0.0,0.6086,H,28,3,0,0,1,CGY,1,0,1,4,EDM,5,1
33,30,22,Edmonton Oilers,2013-04-16T23:30:00Z,0,1,19,0,2012020638,0,0.5,1.0,0.421,H,24,1,0,0,3,MIN,1,0,1,5,EDM,2,1
41,34,22,Edmonton Oilers,2013-04-19T23:00:00Z,0,0,24,0,2012020658,0,1.0,0.0,0.2931,R,17,4,1,0,4,COL,1,2,0,1,EDM,4,0
29,30,22,Edmonton Oilers,2013-04-21T22:30:00Z,0,0,28,0,2012020673,0,0.8,0.0,0.5245,H,32,4,0,0,1,ANA,1,0,1,3,EDM,5,1
20,28,22,Edmonton Oilers,2013-04-22T23:30:00Z,0,0,24,0,2012020679,0,0.6666,0.0,0.5454,H,24,3,0,0,0,ANA,1,0,1,3,EDM,3,1
23,30,22,Edmonton Oilers,2013-04-24T23:30:00Z,0,0,22,0,2012020692,0,1.0,0.0,0.5208,H,25,4,0,0,1,CHI,1,0,1,4,EDM,2,0
33,39,22,Edmonton Oilers,2013-04-26T23:00:00Z,0,0,17,0,2012020705,0,1.0,0.0,0.4107,R,23,2,1,0,6,MIN,1,2,0,1,EDM,2,0
31,30,22,Edmonton Oilers,2013-04-28T00:00:00Z,0,1,37,0,2012020718,0,0.6666,0.25,0.5373,H,36,4,1,0,7,VAN,1,2,0,2,EDM,3,1
34,28,22,Edmonton Oilers,2013-10-02T00:00:00Z,0,2,38,0,2013020003,0,0.75,0.4,0.5466,H,41,5,0,0,4,WPG,1,0,1,5,EDM,4,1
26,44,22,Edmonton Oilers,2013-10-05T23:00:00Z,0,0,23,0,2013020030,0,0.8333,0.0,0.5438,R,31,3,0,0,2,VAN,1,0,1,6,EDM,6,1
25,25,22,Edmonton Oilers,2013-10-07T23:30:00Z,1,1,27,0,2013020035,0,0.6666,0.25,0.6323,H,43,4,1,0,4,NJD,1,2,0,4,EDM,3,1
30,27,22,Edmonton Oilers,2013-10-10T23:30:00Z,0,1,28,0,2013020055,0,0.5,0.25,0.5454,H,36,4,0,0,1,MTL,1,0,1,4,EDM,2,1
24,26,22,Edmonton Oilers,2013-10-12T23:00:00Z,0,1,31,1,2013020064,0,0.6666,0.25,0.6,R,36,4,0,0,5,TOR,1,1,0,6,EDM,3,1
28,20,22,Edmonton Oilers,2013-10-14T23:00:00Z,0,0,30,0,2013020080,0,0.3333,0.0,0.4814,R,26,3,0,0,2,WSH,1,0,1,4,EDM,3,2
24,28,22,Edmonton Oilers,2013-10-15T23:00:00Z,0,0,22,0,2013020085,0,0.6666,0.0,0.52,R,26,3,0,0,2,PIT,1,0,1,3,EDM,3,1
22,40,22,Edmonton Oilers,2013-10-17T23:00:00Z,0,0,29,0,2013020098,0,0.8,0.0,0.6,R,33,3,0,0,2,NYI,1,0,1,3,EDM,5,1
34,36,22,Edmonton Oilers,2013-10-19T18:00:00Z,0,0,21,0,2013020111,0,1.0,0.0,0.4137,R,24,6,1,0,3,OTT,1,2,0,1,EDM,5,0
39,32,22,Edmonton Oilers,2013-10-22T23:30:00Z,0,0,32,0,2013020132,0,0.5,0.0,0.3389,R,20,1,1,0,4,MTL,1,2,0,3,EDM,2,1
21,26,22,Edmonton Oilers,2013-10-24T23:30:00Z,0,0,31,0,2013020147,0,1.0,0.0,0.6037,H,32,3,0,0,1,WSH,1,0,1,4,EDM,2,0
34,28,22,Edmonton Oilers,2013-10-26T16:00:00Z,0,0,30,0,2013020164,0,0.6666,0.0,0.4333,R,26,2,0,0,4,PHX,1,0,1,5,EDM,6,2
38,48,22,Edmonton Oilers,2013-10-27T22:00:00Z,0,1,18,1,2013020170,1,1.0,0.25,0.4722,R,34,4,0,0,1,LAK,1,1,0,1,EDM,5,0
24,26,22,Edmonton Oilers,2013-10-29T23:00:00Z,0,0,43,0,2013020182,0,1.0,0.0,0.6065,H,37,1,0,0,0,TOR,1,0,1,4,EDM,1,0
40,31,22,Edmonton Oilers,2013-11-03T00:00:00Z,0,0,14,0,2013020210,0,0.8,0.0,0.3548,H,22,3,0,0,0,DET,1,0,1,5,EDM,5,1
30,23,22,Edmonton Oilers,2013-11-06T00:30:00Z,0,1,27,0,2013020221,0,1.0,0.3333,0.4545,R,25,3,1,0,4,FLA,1,2,0,3,EDM,1,0
21,26,22,Edmonton Oilers,2013-11-08T00:30:00Z,0,1,40,0,2013020237,0,1.0,0.5,0.5531,R,26,2,0,0,2,TBL,1,0,1,4,EDM,2,0
31,34,22,Edmonton Oilers,2013-11-09T18:00:00Z,0,1,26,0,2013020245,0,1.0,0.25,0.5373,R,36,4,0,0,2,PHI,1,0,1,4,EDM,4,0
50,36,22,Edmonton Oilers,2013-11-10T23:30:00Z,0,2,23,0,2013020258,0,0.8,1.0,0.315,R,23,2,0,0,4,CHI,1,0,1,5,EDM,5,1
32,26,22,Edmonton Oilers,2013-11-14T01:00:00Z,0,0,22,0,2013020276,0,1.0,0.0,0.4576,H,27,5,0,0,0,DAL,1,0,1,3,EDM,6,0
32,37,22,Edmonton Oilers,2013-11-16T01:00:00Z,0,1,31,0,2013020293,0,0.8333,0.3333,0.4576,H,27,3,0,0,1,SJS,1,0,1,3,EDM,6,1
